"Example","Chapter","Book Section","Output Type","Book Value","Package Value","Difference","Status","Diagnosis","Action Taken"
"Exam2.B.1",2,"2.B.1","Structure-only syntax/design matrix","no published numeric model output","structure verified","","UNVERIF","The 2024 2nd edition presents this Appendix B item as PROC GLIMMIX syntax and model/design-matrix construction rather than selected fitted numerical output.","Located in 2024 2nd edition; no fitted numerical output is printed for direct comparison."
"Exam2.B.2",2,"2.B.2","Structure-only syntax/design matrix","no published numeric model output","structure verified","","UNVERIF","The 2024 2nd edition presents this Appendix B item as PROC GLIMMIX syntax and model/design-matrix construction rather than selected fitted numerical output.","Located in 2024 2nd edition; no fitted numerical output is printed for direct comparison."
"Exam2.B.3",2,"2.B.3","Structure-only syntax/design matrix","no published numeric model output","structure verified","","UNVERIF","The 2024 2nd edition presents this Appendix B item as PROC GLIMMIX syntax and model/design-matrix construction rather than selected fitted numerical output.","Located in 2024 2nd edition; no fitted numerical output is printed for direct comparison."
"Exam2.B.4",2,"2.B.4","Structure-only syntax/design matrix","no published numeric model output","structure verified","","UNVERIF","The 2024 2nd edition presents this Appendix B item as PROC GLIMMIX syntax and model/design-matrix construction rather than selected fitted numerical output.","Located in 2024 2nd edition; no fitted numerical output is printed for direct comparison."
"Exam2.B.5",2,"2.B.5","Structure-only syntax/design matrix","no published numeric model output","structure verified","","UNVERIF","The 2024 2nd edition presents this Appendix B item as PROC GLIMMIX syntax and model/design-matrix construction rather than selected fitted numerical output.","Located in 2024 2nd edition; no fitted numerical output is printed for direct comparison."
"Exam2.B.6",2,"2.B.6","Structure-only syntax/design matrix","no published numeric model output","structure verified","","UNVERIF","The 2024 2nd edition presents this Appendix B item as PROC GLIMMIX syntax and model/design-matrix construction rather than selected fitted numerical output.","Located in 2024 2nd edition; no fitted numerical output is printed for direct comparison."
"Exam2.B.7",2,"2.B.7","Structure-only syntax/design matrix","no published numeric model output","structure verified","","UNVERIF","The 2024 2nd edition presents this Appendix B item as PROC GLIMMIX syntax and model/design-matrix construction rather than selected fitted numerical output.","Located in 2024 2nd edition; no fitted numerical output is printed for direct comparison."
"Exam3.2",3,"3.3.1","Gaussian trt 0 LSMean","10.524","10.524","0","EXACT","Matches Example 3.3.1 Gaussian two-treatment LSMean output.","Fitted stats::lm(Y ~ trt) and extracted emmeans."
"Exam3.2",3,"3.3.1","Gaussian trt 1 LSMean","12.188","12.188","0","EXACT","Matches Example 3.3.1 Gaussian two-treatment LSMean output.","Fitted stats::lm(Y ~ trt) and extracted emmeans."
"Exam3.2",3,"3.3.1","Gaussian LSMean SE","0.9972","0.997214","1.4e-05","EXACT","Matches Example 3.3.1 Gaussian LSMean standard error.","Fitted stats::lm(Y ~ trt) and extracted emmeans."
"Exam3.2",3,"3.3.1","Gaussian trt0-trt1 diff","-1.664","-1.664","0","EXACT","Matches Example 3.3.1 treatment difference.","Fitted stats::lm(Y ~ trt) and extracted pairwise emmeans contrast."
"Exam3.2",3,"3.3.1","Gaussian diff SE","1.4103","1.410273","2.7e-05","EXACT","Matches Example 3.3.1 treatment difference standard error.","Fitted stats::lm(Y ~ trt) and extracted pairwise emmeans contrast."
"Exam3.2",3,"3.3.1","Gaussian scale variance","9.9444","9.944356","4.4e-05","EXACT","Matches Example 3.3.1 printed scale estimate.","Computed residual variance from stats::lm."
"Exam3.2",3,"3.3.2","Binomial GLM trt0 logit LSMean","-2.1542","-2.154165","3.5e-05","EXACT","Uses binomial-count response from the 2024 book, not unweighted proportions.","Fitted stats::glm(cbind(F, N - F) ~ trt, binomial)."
"Exam3.2",3,"3.3.2","Binomial GLM trt1 logit LSMean","-0.886","-0.88595","5e-05","EXACT","Uses binomial-count response from the 2024 book, not unweighted proportions.","Fitted stats::glm(cbind(F, N - F) ~ trt, binomial)."
"Exam3.2",3,"3.3.2","Binomial GLM trt0 probability","0.1039","0.103943","4.3e-05","EXACT","Matches Example 3.3.2 inverse-link LSMean.","Extracted emmeans on response scale."
"Exam3.2",3,"3.3.2","Binomial GLM trt1 probability","0.2919","0.291946","4.6e-05","EXACT","Matches Example 3.3.2 inverse-link LSMean.","Extracted emmeans on response scale."
"Exam3.2",3,"3.3.2","Binomial GLM trt0-trt1 log odds ratio","-1.2682","-1.268215","1.5e-05","EXACT","Matches Example 3.3.2 model-scale treatment contrast.","Extracted pairwise emmeans contrast on link scale."
"Exam3.2",3,"3.3.2","Binomial GLM odds ratio","0.2813","0.281333","3.3e-05","EXACT","Matches Example 3.3.2 exponentiated treatment contrast.","Exponentiated pairwise emmeans contrast."
"Exam3.2",3,"3.3.2","Binomial GLM fixed trt1 coefficient","1.2682","1.268215","1.5e-05","EXACT","R treatment coding reports trt1-trt0; sign is opposite SAS trt0-trt1 contrast.","Extracted fixed effects with broom.mixed::tidy."
"Exam3.3",3,"3.3.3","RCBD Gaussian trt 0 LSMean","24.95","24.95","0","EXACT","Matches Example 3.3.3 treatment LSMean output.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian trt 1 LSMean","24.1375","24.1375","0","EXACT","Matches Example 3.3.3 treatment LSMean output.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian trt 2 LSMean","27.375","27.375","0","EXACT","Matches Example 3.3.3 treatment LSMean output.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian trt 3 LSMean","27.0875","27.0875","0","EXACT","Matches Example 3.3.3 treatment LSMean output.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian LSMean SE","0.5997","0.59969","1e-05","EXACT","Matches Example 3.3.3 LSMean standard error.","Fitted stats::lm(Y ~ loc + trt) and extracted emmeans."
"Exam3.3",3,"3.3.3","RCBD Gaussian residual scale","2.877","2.877024","2.4e-05","EXACT","Matches Example 3.3.3 printed scale estimate.","Computed residual variance from stats::lm."
"Exam3.3",3,"3.3.3","RCBD Type III trt F","7.04","7.038813","0.001187","EXACT","Balanced RCBD gives the printed treatment F statistic.","Extracted stats::anova from stats::lm."
"Exam3.3",3,"3.3.3","RCBD Type III trt p","0.0019","0.001873","2.7e-05","EXACT","Balanced RCBD gives the printed treatment p-value.","Extracted stats::anova from stats::lm."
"Exam3.3",3,"3.3.3","RCBD Type III loc F","3.41","3.412505","0.002505","EXACT","Balanced RCBD gives the printed location F statistic.","Extracted stats::anova from stats::lm."
"Exam3.3",3,"3.3.3","RCBD Type III loc p","0.0135","0.013544","4.4e-05","EXACT","Balanced RCBD gives the printed location p-value.","Extracted stats::anova from stats::lm."
"Exam3.3",3,"3.3.3","RCBD trt0-trt1 diff","0.8125","0.8125","0","EXACT","Matches Example 3.3.3 pairwise treatment difference.","Extracted unadjusted pairwise emmeans contrast."
"Exam3.3",3,"3.3.3","RCBD trt1-trt2 diff","-3.2375","-3.2375","0","EXACT","Matches Example 3.3.3 pairwise treatment difference.","Extracted unadjusted pairwise emmeans contrast."
"Exam3.5",3,"3.3.5","Factorial a0 marginal mean","24.5438","24.54375","5e-05","EXACT","Matches Example 3.3.5 marginal mean for A0.","Fitted stats::lm(Y ~ A * B + loc) and extracted emmeans."
"Exam3.5",3,"3.3.5","Factorial b0 marginal mean","26.1625","26.1625","0","EXACT","Matches Example 3.3.5 marginal mean for B0.","Fitted stats::lm(Y ~ A * B + loc) and extracted emmeans."
"Exam3.5",3,"3.3.5","Factorial a0 marginal SE","0.424","0.424045","4.5e-05","EXACT","Matches Example 3.3.5 marginal mean standard error.","Extracted emmeans."
"Exam3.5",3,"3.3.5","Factorial a at b0 simple effect","-2.425","-2.425","0","EXACT","Matches Example 3.3.5 simple effect of A at B0.","Extracted pairwise emmeans contrast by B."
"Exam3.5",3,"3.3.5","Factorial b at a0 simple effect","0.8125","0.8125","0","EXACT","Matches Example 3.3.5 simple effect of B at A0.","Extracted pairwise emmeans contrast by A."
"Exam3.5",3,"3.3.5","Factorial A:B interaction p","0.6661","0.666054","4.6e-05","EXACT","Matches Example 3.3.5 printed interaction p-value.","Extracted stats::anova from stats::lm."
"Exam3.5",3,"3.3.5","Factorial A0 B0 LSMean","24.95","24.95","0","EXACT","Matches Example 3.3.5 A*B LSMean output.","Extracted emmeans for A*B."
"Exam3.5",3,"3.3.5","Factorial A0 B1 LSMean","24.1375","24.1375","0","EXACT","Matches Example 3.3.5 A*B LSMean output.","Extracted emmeans for A*B."
"Exam3.5",3,"3.3.5","Factorial A1 B0 LSMean","27.375","27.375","0","EXACT","Matches Example 3.3.5 A*B LSMean output.","Extracted emmeans for A*B."
