"Example","Chapter","Book Section","Output Type","Book Value","Package Value","Difference","Status","Diagnosis","Action Taken"
"Exam1.1",1,"1.2.3","LM beta0","-0.089","-0.08943985","0.00043985","EXACT","Matches printed 2024 book output within exact tolerance","Verified from Table 1.1 linear-model output printed in Chapter 1"
"Exam1.1",1,"1.2.3","LM beta1","0.1115","0.11151515","0.00001515","EXACT","Matches printed 2024 book output within exact tolerance","Verified from Table 1.1 linear-model output printed in Chapter 1"
"Exam1.1",1,"1.2.3","LM slope p-value","<0.0001","3.706e-06","threshold-confirmed","EXACT","Matches printed 2024 book output within exact tolerance","Book reports p < 0.0001; package value confirms the printed threshold"
"Exam1.1",1,"1.2.3","LM R-squared","0.917","0.9167923","0.0002077","EXACT","Matches printed 2024 book output within exact tolerance","Verified from Table 1.1 linear-model output printed in Chapter 1"
"Exam1.1",1,"1.2.3","LM fitted p at x=0","-0.089","-0.08943985","0.00043985","EXACT","Matches printed 2024 book output within exact tolerance","Verified from printed predicted probability at x = 0"
"Exam1.1",1,"1.2.3","LM fitted p at x=10","1.026","1.02571166","0.00028834","EXACT","Matches printed 2024 book output within exact tolerance","Verified from printed predicted probability at x = 10"
"Exam1.1",1,"1.2.4","Logistic GLM beta0","-4.109","-4.1085728","0.0004272","EXACT","Matches printed 2024 book output within exact tolerance","Corrected package/vignette GLM to use binomial counts cbind(y, Nx - y)"
"Exam1.1",1,"1.2.4","Logistic GLM beta1","0.764","0.7640431","0.0000431","EXACT","Matches printed 2024 book output within exact tolerance","Corrected package/vignette GLM to use binomial counts cbind(y, Nx - y)"
"Exam1.1",1,"1.2.4","Logistic GLM fitted p at x=0","0.016","0.01616559","0.00016559","EXACT","Matches printed 2024 book output within exact tolerance","Verified from printed inverse-link prediction at x = 0"
"Exam1.1",1,"1.2.4","Logistic GLM fitted p at x=10","0.972","0.97158075","0.00041925","EXACT","Matches printed 2024 book output within exact tolerance","Verified from printed inverse-link prediction at x = 10"
"Exam1.1",1,"1.2.4","LM observed-fitted correlation","0.957","0.9574927","0.0004927","EXACT","Matches printed 2024 book output within exact tolerance","Verified from Figure 1.1 discussion"
"Exam1.1",1,"1.2.4","Logistic GLM observed-fitted correlation","0.982","0.9817539","0.0002461","EXACT","Matches printed 2024 book output within exact tolerance","Verified from Figure 1.1 discussion"
"Exam11.1",11,"11.1.2","ANOVA trt F","3.81","3.8054","0.0046","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","ANOVA trt p","0.0869","0.08689","1e-05","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
"Exam11.1",11,"11.1.2","ANOVA LSMean trt 1","4.8","4.8","0","EXACT","Matches printed 2024 book output within exact tolerance","DataSet11.1 reconstructed from printed constraints"
